Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
fastqc | MantonBM1_HiSeq_1_S1_L007_R1_001	MantonBM1_HiSeq_1_S1_L007_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50209387.0	0.0	26.0	50.0	52.38229671572818	26.0	pass	pass	fail	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM1_HiSeq_1_S1_L008_R1_001	MantonBM1_HiSeq_1_S1_L008_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48486954.0	0.0	26.0	50.0	52.72464265707253	26.0	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM1_HiSeq_2_S2_L007_R1_001	MantonBM1_HiSeq_2_S2_L007_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49651042.0	0.0	26.0	50.0	51.313252446549654	26.0	pass	pass	fail	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM1_HiSeq_2_S2_L008_R1_001	MantonBM1_HiSeq_2_S2_L008_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47442630.0	0.0	26.0	50.0	51.51272643350896	26.0	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM1_HiSeq_3_S3_L007_R1_001	MantonBM1_HiSeq_3_S3_L007_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49227943.0	0.0	26.0	50.0	50.79916458995929	26.0	pass	pass	fail	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM1_HiSeq_3_S3_L008_R1_001	MantonBM1_HiSeq_3_S3_L008_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46690913.0	0.0	26.0	50.0	51.35115573122737	26.0	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM1_HiSeq_4_S4_L007_R1_001	MantonBM1_HiSeq_4_S4_L007_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53334739.0	0.0	26.0	50.0	49.213739910180934	26.0	pass	pass	fail	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM1_HiSeq_4_S4_L008_R1_001	MantonBM1_HiSeq_4_S4_L008_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50898776.0	0.0	26.0	50.0	50.02079046092314	26.0	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM1_HiSeq_5_S5_L007_R1_001	MantonBM1_HiSeq_5_S5_L007_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58324685.0	0.0	26.0	50.0	47.46680026064833	26.0	pass	pass	fail	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM1_HiSeq_5_S5_L008_R1_001	MantonBM1_HiSeq_5_S5_L008_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55979684.0	0.0	26.0	50.0	47.650187959040395	26.0	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM1_HiSeq_6_S6_L007_R1_001	MantonBM1_HiSeq_6_S6_L007_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62365885.0	0.0	26.0	50.0	47.37945914885296	26.0	pass	pass	fail	pass	warn	pass	pass	pass	fail	warn	pass
fastqc | MantonBM1_HiSeq_6_S6_L008_R1_001	MantonBM1_HiSeq_6_S6_L008_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60212409.0	0.0	26.0	50.0	47.53742856847126	26.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	pass
fastqc | MantonBM1_HiSeq_7_S7_L007_R1_001	MantonBM1_HiSeq_7_S7_L007_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60241560.0	0.0	26.0	50.0	45.931752867713136	26.0	pass	pass	fail	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM1_HiSeq_7_S7_L008_R1_001	MantonBM1_HiSeq_7_S7_L008_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57960201.0	0.0	26.0	50.0	46.11637627035988	26.0	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM1_HiSeq_8_S8_L007_R1_001	MantonBM1_HiSeq_8_S8_L007_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59561338.0	0.0	26.0	50.0	47.84138757080848	26.0	pass	pass	fail	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM1_HiSeq_8_S8_L008_R1_001	MantonBM1_HiSeq_8_S8_L008_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57463623.0	0.0	26.0	50.0	48.16472137317546	26.0	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM2_HiSeq_1_S9_L005_R1_001	MantonBM2_HiSeq_1_S9_L005_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51096378.0	0.0	26.0	50.0	46.758218843514086	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM2_HiSeq_1_S9_L006_R1_001	MantonBM2_HiSeq_1_S9_L006_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46922887.0	0.0	26.0	50.0	49.32766138599503	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM2_HiSeq_2_S10_L005_R1_001	MantonBM2_HiSeq_2_S10_L005_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57966839.0	0.0	26.0	50.0	43.864191618834916	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM2_HiSeq_2_S10_L006_R1_001	MantonBM2_HiSeq_2_S10_L006_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53032134.0	0.0	26.0	50.0	46.736969002010625	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM2_HiSeq_3_S11_L005_R1_001	MantonBM2_HiSeq_3_S11_L005_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55974723.0	0.0	26.0	50.0	45.22493177602027	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM2_HiSeq_3_S11_L006_R1_001	MantonBM2_HiSeq_3_S11_L006_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51261969.0	0.0	26.0	50.0	47.97964312660815	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM2_HiSeq_4_S12_L005_R1_001	MantonBM2_HiSeq_4_S12_L005_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54260413.0	0.0	26.0	50.0	45.1271953784983	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM2_HiSeq_4_S12_L006_R1_001	MantonBM2_HiSeq_4_S12_L006_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49999417.0	0.0	26.0	50.0	47.71449517660858	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM2_HiSeq_5_S13_L005_R1_001	MantonBM2_HiSeq_5_S13_L005_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59574626.0	0.0	26.0	50.0	45.01548269761352	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM2_HiSeq_5_S13_L006_R1_001	MantonBM2_HiSeq_5_S13_L006_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54777754.0	0.0	26.0	50.0	47.54474732866543	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM2_HiSeq_6_S14_L005_R1_001	MantonBM2_HiSeq_6_S14_L005_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59474407.0	0.0	26.0	50.0	45.052172438225774	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM2_HiSeq_6_S14_L006_R1_001	MantonBM2_HiSeq_6_S14_L006_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54816724.0	0.0	26.0	50.0	47.822872667118354	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM2_HiSeq_7_S15_L005_R1_001	MantonBM2_HiSeq_7_S15_L005_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67872628.0	0.0	26.0	50.0	40.31503657871718	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM2_HiSeq_7_S15_L006_R1_001	MantonBM2_HiSeq_7_S15_L006_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62438341.0	0.0	26.0	50.0	42.88633965115203	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM2_HiSeq_8_S16_L005_R1_001	MantonBM2_HiSeq_8_S16_L005_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54081972.0	0.0	26.0	50.0	46.29247179757395	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM2_HiSeq_8_S16_L006_R1_001	MantonBM2_HiSeq_8_S16_L006_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49760316.0	0.0	26.0	50.0	48.96172872287362	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM3_HiSeq_1_S17_L003_R1_001	MantonBM3_HiSeq_1_S17_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55018024.0	0.0	26.0	50.0	45.232632352142495	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM3_HiSeq_1_S17_L004_R1_001	MantonBM3_HiSeq_1_S17_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52045388.0	0.0	26.0	50.0	46.5929360523486	26.0	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM3_HiSeq_2_S18_L003_R1_001	MantonBM3_HiSeq_2_S18_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77483620.0	0.0	26.0	50.0	36.356773042306436	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM3_HiSeq_2_S18_L004_R1_001	MantonBM3_HiSeq_2_S18_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72478891.0	0.0	26.0	50.0	37.87324401233831	26.0	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM3_HiSeq_3_S19_L003_R1_001	MantonBM3_HiSeq_3_S19_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54962379.0	0.0	26.0	50.0	44.91402834743397	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM3_HiSeq_3_S19_L004_R1_001	MantonBM3_HiSeq_3_S19_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51555832.0	0.0	26.0	50.0	46.71557840500604	26.0	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM3_HiSeq_4_S20_L003_R1_001	MantonBM3_HiSeq_4_S20_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68965060.0	0.0	26.0	50.0	40.07472086075646	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
