Sample	Top over-represented sequence	Sum of remaining over-represented sequences
fastqc | MantonBM1_HiSeq_1_S1_L007_R1_001	0.8062217529164417	1.3382457746397105
fastqc | MantonBM1_HiSeq_1_S1_L008_R1_001	0.7022136304953287	1.0683389185470382
fastqc | MantonBM1_HiSeq_2_S2_L007_R1_001	0.6741872607628254	1.2089695922192327
fastqc | MantonBM1_HiSeq_2_S2_L008_R1_001	0.5901654271696152	0.7812319848204031
fastqc | MantonBM1_HiSeq_3_S3_L007_R1_001	0.614346205771791	1.0174587225795724
fastqc | MantonBM1_HiSeq_3_S3_L008_R1_001	0.5423924779539008	0.7024193337148922
fastqc | MantonBM1_HiSeq_4_S4_L007_R1_001	0.6027328642219473	0.7700365797233958
fastqc | MantonBM1_HiSeq_4_S4_L008_R1_001	0.5309164998388173	0.5799137488099909
fastqc | MantonBM1_HiSeq_5_S5_L007_R1_001	0.5090606147294238	0.5280045661626805
fastqc | MantonBM1_HiSeq_5_S5_L008_R1_001	0.444755993978101	0.4609082823690109
fastqc | MantonBM1_HiSeq_6_S6_L007_R1_001	0.40449678538194395	0.4545546014459669
fastqc | MantonBM1_HiSeq_6_S6_L008_R1_001	0.35008232273184753	0.39557958891829087
fastqc | MantonBM1_HiSeq_7_S7_L007_R1_001	0.4183108803955276	0.7143457108348457
fastqc | MantonBM1_HiSeq_7_S7_L008_R1_001	0.36454497457660645	0.6271838153218274
fastqc | MantonBM1_HiSeq_8_S8_L007_R1_001	0.4170054070981414	0.4742741004240033
fastqc | MantonBM1_HiSeq_8_S8_L008_R1_001	0.36461327890864104	0.4146014253225906
fastqc | MantonBM2_HiSeq_1_S9_L005_R1_001	0.30576922693033154	0.5176864003941728
fastqc | MantonBM2_HiSeq_1_S9_L006_R1_001	0.27043093064584883	0.26115400785122195
fastqc | MantonBM2_HiSeq_2_S10_L005_R1_001	0.3546389686696561	0.310703504118967
fastqc | MantonBM2_HiSeq_2_S10_L006_R1_001	0.31681546135782507	0.27697169418073947
fastqc | MantonBM2_HiSeq_3_S11_L005_R1_001	0.28199335617971705	0.27460430666177665
fastqc | MantonBM2_HiSeq_3_S11_L006_R1_001	0.25005087104633067	0.24267893416267333
fastqc | MantonBM2_HiSeq_4_S12_L005_R1_001	0.4248696006055096	0.42224337658469346
fastqc | MantonBM2_HiSeq_4_S12_L006_R1_001	0.37894241846859933	0.3685502972964665
fastqc | MantonBM2_HiSeq_5_S13_L005_R1_001	0.40163743537391233	0.2602383101825935
fastqc | MantonBM2_HiSeq_5_S13_L006_R1_001	0.35863828955090055	0.23100070879138274
fastqc | MantonBM2_HiSeq_6_S14_L005_R1_001	0.3821374797398148	0.27073325842492213
fastqc | MantonBM2_HiSeq_6_S14_L006_R1_001	0.3389513025258496	0.24072398051368415
fastqc | MantonBM2_HiSeq_7_S15_L005_R1_001	0.29592636371763886	0.2697213963779332
fastqc | MantonBM2_HiSeq_7_S15_L006_R1_001	0.26277764170575896	0.24043720187889045
fastqc | MantonBM2_HiSeq_8_S16_L005_R1_001	0.33479733320375227	0.39403703696307524
fastqc | MantonBM2_HiSeq_8_S16_L006_R1_001	0.2967746426690699	0.341876848209726
fastqc | MantonBM3_HiSeq_1_S17_L003_R1_001	0.3747099314217464	0.4039312644161848
fastqc | MantonBM3_HiSeq_1_S17_L004_R1_001	0.355211109195689	0.2827704925554594
fastqc | MantonBM3_HiSeq_2_S18_L003_R1_001	0.2849350611135618	0.21686260915532862
fastqc | MantonBM3_HiSeq_2_S18_L004_R1_001	0.27031870562147536	0.20754594603275595
fastqc | MantonBM3_HiSeq_3_S19_L003_R1_001	0.27176407338554254	0.2462047721769831
fastqc | MantonBM3_HiSeq_3_S19_L004_R1_001	0.2578292209502118	0.23367094531613802
fastqc | MantonBM3_HiSeq_4_S20_L003_R1_001	0.2600258739715444	0.2577914091570428
fastqc | MantonBM3_HiSeq_4_S20_L004_R1_001	0.2445370845309601	0.24446946577478965
fastqc | MantonBM3_HiSeq_5_S21_L003_R1_001	0.30656576929473334	0.21807081180830623
fastqc | MantonBM3_HiSeq_5_S21_L004_R1_001	0.28969731130150705	0.2078331680844901
fastqc | MantonBM3_HiSeq_6_S22_L003_R1_001	0.2978344759965793	0.19022268894785316
fastqc | MantonBM3_HiSeq_6_S22_L004_R1_001	0.28451432512830793	0.18103581876820557
fastqc | MantonBM3_HiSeq_7_S23_L003_R1_001	0.3393131398421342	0.2090756478375132
fastqc | MantonBM3_HiSeq_7_S23_L004_R1_001	0.3232687729143323	0.20177780858314154
fastqc | MantonBM3_HiSeq_8_S24_L003_R1_001	0.2654473024691103	0.25401095555278663
fastqc | MantonBM3_HiSeq_8_S24_L004_R1_001	0.2509112060091933	0.23863318469235045
fastqc | MantonBM4_HiSeq_1_S25_L001_R1_001	0.27836167156460384	0.34813582091068046
fastqc | MantonBM4_HiSeq_1_S25_L002_R1_001	0.23241392485242318	0.2027633369290071
fastqc | MantonBM4_HiSeq_2_S26_L001_R1_001	0.22080532096741923	0.30745922950331206
fastqc | MantonBM4_HiSeq_2_S26_L002_R1_001	0.19327489287194383	0.1781322788438376
fastqc | MantonBM4_HiSeq_3_S27_L001_R1_001	0.19439900040330785	0.15321997550400382
fastqc | MantonBM4_HiSeq_3_S27_L002_R1_001	0.16388213488406886	0.12841110997612606
fastqc | MantonBM4_HiSeq_4_S28_L001_R1_001	0.1920899247322205	0.15225095705527217
