Sample	1	2	3	4	5	6	7	8
fastqc | MantonBM1_HiSeq_1_S1_L007_I1_001	1.1355765008642706	0.0	0.0	0.0	0.0	0.0006731808934452835	0.0004700316297428606	0.0
fastqc | MantonBM1_HiSeq_1_S1_L008_I1_001	1.3197756245937826	0.001111639225677076	0.0	0.0	4.124820874497499e-06	0.0012518831354099908	0.0	0.0
fastqc | MantonBM1_HiSeq_2_S2_L007_I1_001	1.1531480044265736	0.0	0.0	0.0	0.0	0.0006424839986238355	0.00045316269495411596	0.0
fastqc | MantonBM1_HiSeq_2_S2_L008_I1_001	1.3617752641453478	0.0011550793031499308	0.0	0.0	1.4754662631477217e-05	0.001186696437360239	0.0	0.0
fastqc | MantonBM1_HiSeq_3_S3_L007_I1_001	1.1701545197612664	2.031366616313828e-06	0.0	0.0	0.0	0.0005870649521146963	0.00042455562280959005	0.0
fastqc | MantonBM1_HiSeq_3_S3_L008_I1_001	1.3800094249602701	0.0009809189209900437	0.0	0.0	8.566977475895578e-06	0.001218652545946146	0.0	0.0
fastqc | MantonBM1_HiSeq_4_S4_L007_I1_001	1.16244873721047	1.874950583333688e-06	0.0	0.0	0.0	0.0006581076547501245	0.0004837372505000915	0.0
fastqc | MantonBM1_HiSeq_4_S4_L008_I1_001	1.3718443838413716	0.001043247091049891	0.0	0.0	1.5717470298303443e-05	0.0011925630588837735	0.0	0.0
fastqc | MantonBM1_HiSeq_5_S5_L007_I1_001	1.1233185399972585	0.0	0.0	0.0	0.0	0.0006326652257101775	0.000497216573051359	0.0
fastqc | MantonBM1_HiSeq_5_S5_L008_I1_001	1.3265580420211018	0.0011129037455802715	0.0	0.0	1.2504536467194063e-05	0.001279035444358707	0.0	0.0
fastqc | MantonBM1_HiSeq_6_S6_L007_I1_001	1.129441200104833	1.6034407272501623e-06	0.0	0.0	0.0	0.0006862726312630696	0.00048263565890229896	0.0
fastqc | MantonBM1_HiSeq_6_S6_L008_I1_001	1.3384134821777351	0.0011442824019879357	0.0	0.0	9.964723384510326e-06	0.001285449316601832	0.0	0.0
fastqc | MantonBM1_HiSeq_7_S7_L007_I1_001	1.142453814277054	0.0	0.0	0.0	0.0	0.0006324537412377767	0.0005096149568503869	0.0
fastqc | MantonBM1_HiSeq_7_S7_L008_I1_001	1.3503127775557577	0.001202549314830706	0.0	0.0	1.035193097415242e-05	0.001300892659085154	0.0	0.0
fastqc | MantonBM1_HiSeq_8_S8_L007_I1_001	1.1389435207113714	0.0	0.0	0.0	0.0	0.0006715765854689161	0.0004818562000739473	0.0
fastqc | MantonBM1_HiSeq_8_S8_L008_I1_001	1.3468103116296724	0.0011572538682428708	0.0	0.0	8.701156904081735e-06	0.0012825505276616478	0.0	0.0
fastqc | MantonBM2_HiSeq_1_S9_L005_I1_001	1.1985702783081806	0.00046970061165587903	0.00012916766820536674	0.0	0.0	0.0	0.0	0.0
fastqc | MantonBM2_HiSeq_1_S9_L006_I1_001	1.0181449406555056	0.0	0.0	0.0	0.00022164024136025562	0.0	0.0	0.0
fastqc | MantonBM2_HiSeq_2_S10_L005_I1_001	1.197431172674432	0.0004295559397330601	0.00011903357366096847	0.0	0.0	0.0	0.0	0.0
fastqc | MantonBM2_HiSeq_2_S10_L006_I1_001	1.021676781854564	0.0	0.0	0.0	0.00028096172784598865	0.0	0.0	0.0
fastqc | MantonBM2_HiSeq_3_S11_L005_I1_001	1.1915306843054856	0.0004662818965624895	0.00010719124058907804	0.0	0.0	0.0	0.0	0.0
fastqc | MantonBM2_HiSeq_3_S11_L006_I1_001	1.01232162970564	0.0	0.0	0.0	0.000243845490991577	0.0	0.0	0.0
